model,params,bear_acc,bear_bits,bear_share_2bpp_pct,bear_share_3p6bpp_pct,bear_n,taxi_acc,taxi_bits,taxi_share_2bpp_pct,taxi_share_3p6bpp_pct,taxi_n,combined_bits,combined_share_2bpp_pct
pythia-160m,162322944,0.06144095201138274,606.3437026736564,0.00018677079399005245,0.0001037615522166958,7731,0.2348432055749129,119.73571492794045,3.6881944097792004e-05,2.0489968943217785e-05,1435,726.0794176015968,0.00022365273808784444
pythia-410m,405334016,0.08873366964170223,1543.4773253976227,0.00019039573098617298,0.00010577540610342942,7731,0.2808362369337979,218.53715204471888,2.6957662497874207e-05,1.4976479165485668e-05,1435,1762.0144774423416,0.00021735339348404718
pythia-1b,1011781632,0.09701202949165696,1865.1319318408866,9.217067561080643e-05,5.1205930894892456e-05,7731,0.2759581881533101,220.16316868518908,1.087997457761662e-05,6.044430320898121e-06,1435,2085.2951005260757,0.00010305065018842305
pythia-2.8b,2775208960,0.1305135170094425,3103.988379021323,5.5923507450432186e-05,3.10686152502401e-05,7731,0.3024390243902439,257.48029861157363,4.638935343657395e-06,2.5771863020318863e-06,1435,3361.4686776328967,6.0562442794089576e-05
