model,relation,answer_space,n_total,accuracy,acquired_bits
pythia-160m,P6,60,60,0.1,29.534452978042598
pythia-160m,P19,25,150,0.08666666666666667,32.50699332842307
pythia-160m,P20,25,150,0.04,0.0
pythia-160m,P26,60,60,0.03333333333333333,5.906890595608519
pythia-160m,P27,25,150,0.12,55.72627427729668
pythia-160m,P30,6,150,0.16666666666666666,0.0
pythia-160m,P36,60,60,0.06666666666666667,17.72067178682556
pythia-160m,P37,60,60,0.016666666666666666,0.0
pythia-160m,P50,25,150,0.07333333333333333,23.21928094887362
pythia-160m,P53,25,150,0.03333333333333333,0.0
pythia-160m,P57,25,150,0.04666666666666667,4.643856189774725
pythia-160m,P58,25,150,0.06666666666666667,18.575424759098894
pythia-160m,P69,25,150,0.06,13.93156856932417
pythia-160m,P87,60,60,0.03333333333333333,5.906890595608519
pythia-160m,P98,60,60,0.0,0.0
pythia-160m,P103,25,150,0.03333333333333333,0.0
pythia-160m,P105,5,150,0.2,0.0
pythia-160m,P108,25,150,0.03333333333333333,0.0
pythia-160m,P115,60,60,0.016666666666666666,0.0
pythia-160m,P127,25,150,0.11333333333333333,51.082418087521965
pythia-160m,P131,25,150,0.04,0.0
pythia-160m,P137,25,150,0.08666666666666667,32.50699332842307
pythia-160m,P162,25,150,0.06,13.93156856932417
pythia-160m,P170,25,150,0.07333333333333333,23.21928094887362
pythia-160m,P171,25,150,0.06,13.93156856932417
pythia-160m,P175,25,150,0.03333333333333333,0.0
pythia-160m,P176,25,150,0.06,13.93156856932417
pythia-160m,P177,17,153,0.1111111111111111,32.69970273000271
pythia-160m,P178,25,150,0.06666666666666667,18.575424759098894
pythia-160m,P179,25,150,0.05333333333333334,9.28771237954945
pythia-160m,P185,60,60,0.0,0.0
pythia-160m,P190,60,60,0.06666666666666667,17.72067178682556
pythia-160m,P206,25,150,0.06666666666666667,18.575424759098894
pythia-160m,P272,25,150,0.04,0.0
pythia-160m,P291,17,153,0.058823529411764705,0.0
pythia-160m,P344,25,150,0.04,0.0
pythia-160m,P364,25,150,0.05333333333333334,9.28771237954945
pythia-160m,P403,16,144,0.0625,0.0
pythia-160m,P412,6,150,0.16666666666666666,0.0
pythia-160m,P413,25,150,0.06666666666666667,18.575424759098894
pythia-160m,P427,60,60,0.08333333333333333,23.627562382434075
pythia-160m,P449,25,150,0.04666666666666667,4.643856189774725
pythia-160m,P463,25,150,0.06,13.93156856932417
pythia-160m,P466,60,60,0.03333333333333333,5.906890595608519
pythia-160m,P509,25,150,0.03333333333333333,0.0
pythia-160m,P610,60,60,0.06666666666666667,17.72067178682556
pythia-160m,P611,25,150,0.03333333333333333,0.0
pythia-160m,P641,25,150,0.04666666666666667,4.643856189774725
pythia-160m,P676,25,150,0.04,0.0
pythia-160m,P1303,25,150,0.03333333333333333,0.0
pythia-160m,P1376,60,60,0.05,11.81378119121704
pythia-160m,P1412,25,150,0.05333333333333334,9.28771237954945
pythia-160m,P1441,25,150,0.04666666666666667,4.643856189774725
pythia-160m,P1532,25,150,0.06666666666666667,18.575424759098894
pythia-160m,P2632,21,147,0.047619047619047616,0.0
pythia-160m,P3373,60,60,0.03333333333333333,5.906890595608519
pythia-160m,P4552,24,144,0.041666666666666664,0.0
pythia-160m,P6886,25,150,0.04666666666666667,4.643856189774725
pythia-160m,P7937,25,150,0.03333333333333333,0.0
pythia-160m,P7959,25,150,0.02666666666666667,0.0
pythia-410m,P6,60,60,0.26666666666666666,88.60335893412778
pythia-410m,P19,25,150,0.1,41.79470570797252
pythia-410m,P20,25,150,0.04,0.0
pythia-410m,P26,60,60,0.03333333333333333,5.906890595608519
pythia-410m,P27,25,150,0.13333333333333333,65.01398665684613
pythia-410m,P30,6,150,0.16666666666666666,0.0
pythia-410m,P36,60,60,0.2,64.97579655169372
pythia-410m,P37,60,60,0.03333333333333333,5.906890595608519
pythia-410m,P50,25,150,0.1,41.79470570797252
pythia-410m,P53,25,150,0.18,97.5209799852692
pythia-410m,P57,25,150,0.02666666666666667,0.0
pythia-410m,P58,25,150,0.04,0.0
pythia-410m,P69,25,150,0.1,41.79470570797252
pythia-410m,P87,60,60,0.016666666666666666,0.0
